"source","entry","year"
"mississippi","President Jefferson Davis and Sons (2008), a life-size bronze statue by sculptor Gary Casteel and commissioned by the Sons of Confederate Veterans (SCV) to commemorate the 150th anniversary of the birth of Jefferson Davis.[17][18][19]  The statue features Davis standing with his arms around both his son Joe, and Jim Limber, a mixed-race stepchild of the Davis family who the SVC called ""a person lost in history by revisionist historians, who felt his existence would impair their contrived notions of Davis"".[18]  The SCV first offered the statue to the American Civil War Center at the Tredegar Iron Works in Richmond, Virginia in order to balance the importance of a statue already located there depicting Lincoln with his son while they visited the burned-out Confederate capital in 1865.[18][19]  When the center would not ""guarantee where or whether the statue would be displayed or explain how it might be interpreted"", the SCV rescinded its offer.[18]  The statue was eventually placed at the SVC-managed Jefferson Davis Presidential Library and Museum at Beauvoir in 2010.[17]",2008
"north_carolina","Confederate Soldiers Monument (1868) at Cross Creek Cemetery; the first Confederate monument in North Carolina[14]",1868
"north_carolina","Joseph E. Johnston, BentonvilleConfederate Soldiers Monument (1868) in FayettevilleFort Fisher Confederate Monument, Kure BeachLenoir, North CarolinaLexington, North Carolina (ca. 1920)New Bern, North CarolinaHenry Lawson Wyatt in Raleigh, North CarolinaConfederate graves and monument, Historic Oakwood Cemetery, RaleighGloria Victis, Salisbury",1868
"north_carolina","Pelham (1868), named for CSA Col. John Pelham from Alabama",1868
"north_carolina","Confederate Monument (1870), Historic Oakwood Cemetery[54]",1870
"north_carolina","Harnett County: Confederate Monument (1872) at Chicora Civil War Cemetery to soldiers killed at the Battle of Averasborough, ""In Memory of our Confederate Dead Who Fell Upon That Day""[54]",1872
"north_carolina","Oakdale Cemetery Confederate Mound (1872); North Carolina's first soldier statue[54]",1872
"north_carolina","Pender County (1875), named for CSA Gen. William Dorsey Pender",1875
"north_carolina","Vanceboro (1876), named for Zebulon Vance",1876
"north_carolina","Vance County (1881), named for CSA soldier and North Carolina governor Zebulon Baird Vance",1881
"north_carolina","Carrboro (1882), named for CSA soldier and white supremacist Julian Carr",1882
"north_carolina","New Bern: Confederate Monument (1885), Cedar Grove Cemetery[62]",1885
"north_carolina","Confederate Soldiers Monument at Green Hill Cemetery (1888)[14] (Removed July 4, 2020)[51]",1888
"north_carolina","Washington, Virginia: Confederate Soldiers Monument (1888), Oakdale Cemetery[14]",1888
"north_carolina","Ramseur, (1889), formerly called Columbia and renamed for CSA general Stephen Dodson Ramseur[76]",1889
"north_carolina","Concord: Confederate Soldiers Monument (1892) at Old Cabarrus County Courthouse[14]",1892
"north_carolina","Confederate Soldiers Monument (1892)[14]",1892
"north_carolina","Confederate Monument (1895)[33]",1895
"north_carolina","North Carolina State Capitol. The Capitol currently houses the offices of the Governor of North Carolina. The legislature relocated to its current location in the North Carolina State Legislative Building in 1963.In 2017, Governor Roy Cooper unsuccessfully petitioned the North Carolina Historical Commission to move the following three Confederate monuments from the grounds of the state Capitol to the Bentonville Battlefield, a Civil War site in Johnston County.[3][4] The Commission found that the 2015 law prohibited their removal, but recommended signage to add context to the monuments, including noting that slavery was a cause of the Civil War. The Commission also found unanimously that the Capitol monuments are ""an overrepresentation and over-memorialization"" of the Confederacy and Civil War in North Carolina. The Commission urged the state’s Department of Natural and Cultural Resources to plan and raise money for a monument recognizing the contributions of African Americans to North Carolina's history.[5] On June 19, 2020, the two statues at the base of the monument were toppled by protestors. The protestors proceeded to drag one statue to the streets and hang it from a street light.[6]Monument Removed June 21, 2020 [7] - North Carolina State Confederate Monument (1895), also known as the Soldiers and Sailors Monument. ""This 75-foot-tall monument to fallen Confederate soldiers is located on the State Capitol grounds. At the top of the column is a statue depicting a Confederate artillery soldier holding a gun. Near the bottom of the column are two statues, one representing the Confederate infantry and the other a Confederate cavalryman. Two 32 pounder naval cannons stand on each side of the monument.""[8] Contains the Seal of North Carolina. Front: ""To Our Confederate Dead."" Rear: ""First at Bethel, last at Appomattox"".",1895
"north_carolina","High Point: Confederate Monument (1899), Oakwood Cemetery[56]",1899
"north_carolina","Columbia: Confederate Soldiers Monument (1902); ""In appreciation of our faithful slaves""[24][25]",1902
"north_carolina","Confederate Soldiers Monument (1902)[14]",1902
"north_carolina","Wilson: Confederate Monument at Maplewood Cemetery (1902)[71]",1902
"north_carolina","Asheville: Confederate Soldiers Monument (1903), Newton Academy Cemetery[14]",1903
"north_carolina","Confederate Soldiers Monument (1904)[14]",1904
"north_carolina","Hendersonville: Confederate Soldiers Monument (1905)[14]",1905
"north_carolina","Lexington: Confederate Soldiers Monument (1905)[14] Removed from Lexington public square in 2020.[58]",1905
"north_carolina","Monument to 60th Regiment North Carolina Volunteers (1905)",1905
"north_carolina","Confederate Soldiers Monument (1906)[14]",1906
"north_carolina","Statesville: Confederate Soldiers Monument (1906) at Iredell County Courthouse[14]",1906
"north_carolina","Lee County (1907), named for CSA Gen. Robert E. Lee",1907
"north_carolina","Lumberton: Confederate Soldiers Monument (1907)",1907
"north_carolina","Newton: Catawba County Confederate Soldiers Monument (1907), Old Catawba County Courthouse[14][30]",1907
"north_carolina","Shelby: Confederate Soldiers Monument (1907) at Old Courthouse[14]",1907
"north_carolina","Zebulon (1907), named for Zebulon Vance",1907
"north_carolina","Edenton: Confederate Soldiers Monument (1909); moved from courthouse in 1961[14][39]",1909
"north_carolina","Franklin: Confederate Soldiers Memorial (1909)",1909
"north_carolina","Oxford: Granville Gray (1909), a memorial to the Confederate Veterans of Granville County",1909
"north_carolina","Cornelius: Confederate Soldiers Monument (1910), Mt. Zion United Methodist Church. 19600 Zion Avenue.[38]",1910
"north_carolina","Henry Lawson Wyatt Memorial Fountain (1910)[14]",1910
"north_carolina","Lenoir: Confederate Soldiers Monument (1910) in town square[14]",1910
"north_carolina","Monroe: Located at the Old Union County Courthouse; the obelisk (1910) was erected by the UDC Monroe chapter[61]",1910
"north_carolina","Rutherfordton: Confederate Soldiers Monument (1910)",1910
"north_carolina","Asheboro: Confederate Soldiers Monument (1911)",1911
"north_carolina","Elizabeth City: Confederate Soldiers Monument (1911)",1911
"north_carolina","Hoke County (1911), named for CSA Maj. Gen. Robert Hoke",1911
"north_carolina","Lincolnton: Confederate Soldiers Memorial Drinking Fountain (1911)",1911
"north_carolina","Hertford: Confederate Soldiers Monument (1912)",1912
"north_carolina","Justice: Confederate Soldiers Monument (1912) at Stallings Memorial Park[14]",1912
"north_carolina","Laurinburg: Confederate Soldiers Monument (1912), sponsored by UDC. ""The Scotland County monument has been moved several times in the years since first being placed. Originally it sat in the middle of the road in front of the courthouse at Main and Church streets. It was then moved onto the grounds of the courthouse after becoming a traffic hazard. When the new courthouse was completed in the 1960s, the monument moved with it and was placed in its current location.... [T]he inside contains time capsules.""[28]",1912
"north_carolina","Monument Removed June 21, 2020 [7] - Henry Lawson Wyatt Monument (1912). He was the first Confederate soldier to die in battle. Sculpture by Gutzon Borglum. Inscriptions:Front: HENRY LAWSON WYATT / PRIVATE CO. A / BETHEL REGIMENT / NORTH CAROLINA VOLUNTEERS / KILLED AT BETHEL CHURCH / JUNE 10, 1861 / FIRST CONFEDERATE SOLDER | TO FALL IN BATTLE IN THE | WAR BETWEEN THE STATES.Rear: WYATT'S COMRADES / IN DASH TO BURN THE HOUSE / GEORGE T. WILLIAMS / JOHN H. THORPE / ROBERT H. RICKS / ROBERT H. BRADLEY / THOMAS FALLON / ERECTED BY THE NORTH CAROLINA | DIVISION, UNITED DAUGHTERS | OF THE CONFEDERACY. / JUNE 10, 1912Base, east face: GORHAM. Co. FOUNDERS.[12]",1912
"north_carolina","Warrenton: Confederate Soldiers Monument (1913)",1913
"north_carolina","Winton: Confederate Soldiers Monument (1913)[14]",1913
"north_carolina","Burgaw: Confederate Soldiers Monument (1914)",1914
"north_carolina","Confederate Soldiers Monument (1914) to ""Our Confederate Dead"".[59] The monument was formerly on the street in front of Louisburg College, but the College has grown to surround the monument. Some on campus want it removed. ""It's not clear whether the town owns the statue, or whether it belongs to the county or to the quiet but still active Joseph J. Davis 537 chapter of the United Daughters of the Confederacy.""[60]",1914
"north_carolina","Graham: Confederate Soldiers Monument (1914), Alamance County Courthouse.[14] Demonstrators called for its removal in 2017, and the matter was discussed at an Alamance County Commission meeting.[27]",1914
"north_carolina","Greenville: Confederate Soldiers Monument (1914)",1914
"north_carolina","Monument Removed June 21, 2020 [9] - Monument to North Carolina Women of the Confederacy, also called Confederate Women's Monument (1914). ""The seven foot tall monument, made possible through a private donation, honors the hardships and sacrifices of North Carolina women during the Civil War. A bronze sculpture depicts an older woman, a grandmotherly figure, holding a book as she sits next to a young boy holding a sword. It sits on top of a granite base with bronze bas-relief plaques. The woman, representing the women in the South as the custodians of history, imparts the history of the Civil War to the boy. The two relief plaques portray the Civil War; the eastern side shows soldiers departing for war and leaving their loved ones behind, while the western side depicts a weary or injured Confederate soldier returning home.""[10] In 2019, a protester placed Ku Klux Klan hoods on the two figures.[11]",1914
"north_carolina","Gatesville: Confederate Soldiers Monument (1915)[14]",1915
"north_carolina","Last Meetings of the Confederate Cabinet Marker (1915)",1915
"north_carolina","Sylva: Confederate Soldiers Monument (1915)",1915
"north_carolina","Clinton: Monument removed July 12, 2020.[22] Confederate Soldiers Monument (1916). ""In honor of the Confederate soldiers of Sampson County who bore the flag of a nation's trust and fell in a cause though lost still just and died for me and you.""[23]",1916
"north_carolina","Rocky Mount: Nash County Confederate Monument (1917), honoring Confederate war dead in Edgecombe County and Nash Counties; rededicated to all veterans of all wars in 1976. On June 2, 2020, the City Council of Rocky Mount voted to remove it.[64]",1917
"north_carolina","Currituck: Confederate Soldiers Monument ""To Our Confederate Dead 1861–1865"" (1918)[26]",1918
"north_carolina","Morganton: Confederate Soldiers Monument at Old Courthouse (1918)[14]",1918
"north_carolina","Morgantown: Confederate Soldiers Monument (1918)",1918
"north_carolina","CSA Gen. Robert Hoke Monument (1920)",1920
"north_carolina","Confederate Memorial (1921)[citation needed]",1921
"north_carolina","Yanceyville: Confederate Soldiers Monument (1921), Old Caswell County Courthouse[14]",1921
"north_carolina","Holly Springs: Confederate Soldiers Monument (1923)",1923
"north_carolina","Louisburg: The Confederate Memorial Drinking Fountain (1923) is dedicated to North Carolinian Orren Randolph Smith, who designed the Stars and Bars, the first official flag of the Confederacy. It is five feet high, six feet across, and has separate ""white"" and ""colored"" drinking fountains.[14][29] A similar marker is in Wilson, North Carolina (below).",1923
"north_carolina","Confederate Soldiers Monument (1924)",1924
"north_carolina","Albemarle: Confederate Soldiers Monument (1925)[14]",1925
"north_carolina","Beaufort: Carteret County Confederate Soldiers Monument (1926) at the Carteret County Courthouse. ""TO THE MEMORY OF THE CONFEDERATE DEAD OF CARTERET COUNTY 1861-1865 ERECTED BY THE DAUGHTERS OF CONFEDERACY FORT MACON CHAPTER BEAUFORT, N.C. 1926 NOT EVEN TIME CAN DESTROY HEROISM"" [21]",1926
"north_carolina","Beaufort: Confederate Soldiers Monument (1926), Carteret County Courthouse[14]",1926
"north_carolina","Robert E. Lee Dixie Highway marker (1926), ""In Loving Memory of Robert E. Lee...'The Shaft Memorial and Highway Straight Attest His Worth – He Cometh to His Own'""[46]",1926
"north_carolina","Wilson: Memorial Drinking Fountain (1926). This fountain, like a similar one from the same artist in Louisburg, NC, originally had ""white"" and ""colored"" water fountains, separated by the Confederate flag. The water bowls have been removed and replaced with generic tops, and the labels ""white"" and ""colored"" sandblasted off; their location is clearly visible.[32]",1926
"north_carolina","Calvary Episcopal Church Memorial (1927), ""During the Civil War this Church was Used as Barracks by Confederate Troops""[49]",1927
"north_carolina","Tuxedo: Robert E. Lee Dixie Highway Marker (1927)[69]",1927
"north_carolina","Albert Pike marker (1928), ""Arkansas Poet of the Confederacy""[48]",1928
"north_carolina","Confederate Arsenal (1928)",1928
"north_carolina","Enfield: Confederate Soldiers Memorial (1928) at Elmwood Cemetery. Originally located in downtown Enfield, the sculpture contains a drinking fountain.[14]",1928
"north_carolina","Plymouth: Battle of Plymouth monument (1928) at Washington County Courthouse[31]",1928
"north_carolina","Zebulon Baird Vance marker (1928)[47]",1928
"north_carolina","1929 Confederate Reunion Marker (1929). ""Erected by citizens of City of Charlotte and County of Mecklenburg commemorating the 39th Confederate Reunion June 4–7, 1929."" Currently (2018) protected by a glass enclosure.[35]",1929
"north_carolina","Halifax: General Junius Daniel marker (1929)[53]",1929
"north_carolina","Snow Hill: Confederate Soldiers Monument (1929)[14]",1929
"north_carolina","Henry Timrod marker (1930), recognizing Timrod as ""Laureate of the Confederacy""[43]",1930
"north_carolina","Memorial plaque to Lieutenant William Henry Hardy (1930), ""the First Soldier from Buncombe County to Fall in the War Between The States""[19]",1930
"north_carolina","Orren Randolph Smith marker (1930)[42]",1930
"north_carolina","Rockingham: Confederate Soldiers Monument (1930)",1930
"north_carolina","Confederate Monument (1931)",1931
"north_carolina","Jefferson Davis marker (1931), recognizing Davis as ""A Statesman with Clean Hands and Pure Heart""[41]",1931
"north_carolina","Confederate Monument (1932)",1932
"north_carolina","Faison: Monument to the ""Confederate Grays"" 20th Regiment North Carolina State Troops (1932)[14]",1932
"north_carolina","Forest City: Forest City Confederate Monument (1932)",1932
"north_carolina","Fort Fisher Confederate Monument (1932); UDC monument erected at former site of Fort Fisher headquarters building[57]",1932
"north_carolina","Matthew Fontaine Maury marker (1932). A Confederate Navy commander and slave owner, Maury investigated resettling American slaves in Brazil.[44][45]",1932
"north_carolina","Confederate Women Monument (1934)[14]",1934
"north_carolina","Monument to Civil War Captain and North Carolina legislator Samuel A'Court Ashe (1940), two plaques on a large granite block.[13]",1940
"north_carolina","Waynesville: Confederate Soldiers Monument (1940)",1940
"north_carolina","Jefferson Davis Camp marker, showing where Davis ""hitched his horse to a tree which stood on this spot"" (1941)[37]",1941
"north_carolina","Judah P. Benjamin marker (1944)[40]",1944
"north_carolina","Judah P. Benjamin Memorial ""erected in His Honor by Temple Israel and Temple Beth El, the Jewish Congregations of Charlotte, as a Gift to the North Carolina Division, United Daughters of the Confederacy"" (1948)[36]",1948
"north_carolina","North Carolina Confederate Veterans Forest (1956)[77] 125,000 spruce pine trees were planted by the UDC in the 1940s as a living memorial to North Carolina Confederate Veterans. The forest was rededicated in 2001. The area is located beneath Mt. Hardy near the Blue Ridge Parkway.",1956
"north_carolina","Jacksonville: Confederate Soldiers Monument (1957)",1957
"north_carolina","Taylorsville: Confederate Soldiers Monument (1958)[14]",1958
"north_carolina","Jefferson Davis Plaque (1960)",1960
"north_carolina","Trenton: Confederate Soldiers Monument (1960)",1960
"north_carolina","Confederate Soldiers Monument (1977)",1977
"north_carolina","Confederate Soldiers Monument (1985)[52]",1985
"north_carolina","Army of Tennessee Monument (1986)[14]",1986
"north_carolina","Mocksville: Davie County War Memorial (1987)",1987
"north_carolina","Danbury: Confederate Soldiers Monument (1990)",1990
"north_carolina","Selma: The Last Grand Review Monument (1990)[67]",1990
"north_carolina","Confederate Monument (1998)",1998
"north_carolina","Wentworth: Rockingham County Confederate Monument (1998)[70]",1998
"north_carolina","Wilkesboro: Confederate Soldiers Monument (1998)",1998
"north_carolina","Dobson: Confederate Soldiers Monument (2000)",2000
"north_carolina","Middletown: Confederate Soldiers war Monument (2001)",2001
"north_carolina","Dallas: Gaston County Confederate Soldier Monument (2003)",2003
"north_carolina","Burnsville: Confederate Soldiers Monument (2009)",2009
"north_carolina","Joseph E. Johnston Monument stands on private property near the State Operated historic site (2010)[34]",2010
"north_carolina","Thomasville: Thomasville and Davidson County Civil War Memorial (2010)[68]",2010
"north_carolina","Bakersville: Mitchell County's Confederate Dead Monument (2011) commemorates 79 men ""who died for their freedom and independence. And not for slavery.""[20]",2011
"north_carolina","1929 Confederate Reunion Marker (1929). ""Erected by citizens of City of Charlotte and County of Mecklenburg commemorating the 39th Confederate Reunion June 4–7, 1929."" Currently (2018) protected by a glass enclosure.[35]",2018
"other","Levy County (1845), named for David Levy Yulee, a Florida businessman, senator, and strong supporter of slavery, who withdrew from the U.S. Senate in 1861 and served nine months in prison after the Civil War for supporting the Confederacy.",1845
"other","Baker County (1861), named for James McNair Baker, a lawyer and judge who was a Confederate States of America Senator from Florida.[204]",1861
"other","Bradford County (1861), named for Captain Richard Bradford, who was killed in the Battle of Santa Rosa Island, becoming the first Confederate officer from Florida to die during the Civil War.[204]",1861
"other","Bartow (1862), previously Reidsville, renamed for CSA Col. Francis Bartow.[206]",1862
"other","USS General Price (1862) a Confederate ship sunk in battle, raised and used by the Union until sold in 1865.",1862
"other","Hood County (1866) named for CSA General John Bell Hood",1866
"other","Bronze plaque commemorating the site of Pettigrew's death.First Confederate Memorial (1867), Romney, West Virginia",1867
"other","Romney: First Confederate Memorial (1867) Carved on the main facade are the words, ""The daughters of Old Hampshire erect this tribute of affection to her heroic sons who fell in defense of Southern Rights.""",1867
"other","Confederate Monument to Unknown Soldiers, Old Soldiers' Cemetery, Summer Street at Edwards Street (1869)[399]",1869
"other","Union City: Confederate Monument (1869)",1869
"other","City of Forrest City (1870), named for CSA Gen. Nathan Bedford Forrest.[126]",1870
"other","Lee County (1870)",1870
"other","City of Cleburne (1871)",1871
"other","Bolivar: Monument to the Memory of Fallen Confederate Sons (1873)",1873
"other","Faulkner County (1873), named for CSA Capt. Sandford C. Faulkner.[125]",1873
"other","Gregg County (1873) named for CSA General John Gregg, who was a delegate to the Texas Secession Convention in 1861 and was elected to represent Texas in the Provisional Confederate Congress in Montgomery, Alabama, and later in Richmond, Virginia. He was killed in action at the Siege of Petersburg in 1864.",1873
"other","Lee County (1873), named for CSA Gen. Robert E. Lee.[127]",1873
"other","Titusville (1873), previously Sand Point, renamed by CSA Col. Henry T. Titus, who also supplied Confederate troops.[208]",1873
"other","Confederate Monument (1874), Greenwood Cemetery[297]",1874
"other","Lee County (1874) named for Robert E. Lee.",1874
"other","The Confederate Soldier (1874)[313]",1874
"other","Town of Stonewall (1874) for Stonewall Jackson",1874
"other","Battle of Dutton's Hill Monument (1875) on private property, Old Crab Orchard Road.[275] Kentucky Historical Marker at roadside.[d]",1875
"other","Perry (1875), named for Florida Governor and CSA Col. Madison Starke Perry.[163]",1875
"other","Tom Green County (1875) named for CSA Brig. Gen. Thomas Green, KIA (killed in action).",1875
"other","Scotland (St. Mary's County): Confederate Soldiers and Sailors Monument (1876), and Point Lookout Confederate Cemetery Monument (1910), located at Point Lookout Confederate Cemetery.[315] As of October 2018, it is one of 7 cemeteries with Confederate monuments that the Veterans Administration has under 24-hour guard.[240]",1876
"other","Hemphill County and Hemphill city (1877) named for John Hemphill, Chief Justice of the Texas Supreme Court from 1841 to 1858 until he was elected to the US Senate when Sam Houston refused to support secession. He was expelled from the Senate when Texas seceded in 1861 and then represented Texas in the Provisional Confederate Congress.",1877
"other","Confederate Memorial (1878), Elmwood Cemetery, 824 Dudley Street[399]",1878
"other","Leadville: Robert E. Lee Mine (1878)[142][143]",1878
"other","Confederate monument, on the Plaza de la Constitución (1879).[188] ""The Confederate Memorial Contextualization Advisory Committee, a seven-member task force comprised mostly of historians"", in 2018 recommended to the City Commission that the monument be kept, with the addition of ""some necessary context"".[189]",1879
"other","Confederate monument, Jackson County Courthouse lawn (1881)",1881
"other","Frederick: Monument to the Unknown Confederate Soldiers (1881), Mount Olivet Cemetery[320]",1881
"other","Oldham County (1881) named for William Simpson Oldham Sr., a Confederate politician.",1881
"other","Columbia: Confederate ""Funeral Rest"" Memorial, Rose Hill Cemetery (1882)[399]",1882
"other","Donley County (1882) named for Stockton P. Donley, a lawyer who enlisted in the Confederate Army. Just after the war in 1866, he was elected to the Supreme Court of Texas, but was removed by the Reconstruction military government.",1882
"other","Cleburne County (1883), named for CSA Maj. Gen. Patrick Cleburne.[124]",1883
"other","Confederate Soldiers Monument (1884); marks the mass burial of 640 Confederate soldiers[115]",1884
"other","Reeves County (1884) named for CSA officer George R. Reeves.",1884
"other","Scurry County (1884) named for secessionist and CSA Gen. William Read Scurry.",1884
"other","Val Verde County (1885) Confederate victory in the Battle of Val Verde",1885
"other","Army of Tennessee Tomb (1886) at Metairie Cemetery, consisting of a Gothic chapel tomb containing 48 vaults, surmounted by an equestrian statue of Albert Sidney Johnston. A marble statue near the tomb's entrance shows a Confederate sergeant calling the roll. Johnston, P. G. T. Beauregard, and other Confederate soldiers are entombed there.[298]",1886
"other","Confederate Monument (1886)",1886
"other","""Armistead's Last Stand"" Marker, for Brig. Gen. Lewis A. Armistead (1887)",1887
"other","Brewster County (1887) named for Henry Percy Brewster",1887
"other","City of Granbury (1887)",1887
"other","Confederate Generals Memorial (1887)[117]",1887
"other","Jeff Davis County (1887) named for Jefferson Davis.",1887
"other","Lee County (1887), named for Robert E. Lee.[205]",1887
"other","Pasco County (1887), named for Samuel Pasco, who fought for the CSA but spent much of the war as a prisoner of war. Pasco later became a state representative and US Senator from Florida.",1887
"other","Jackson: ""Our Confederate Dead"" Monument (1888)",1888
"other","Stonewall County (1888) named for CSA General Stonewall Jackson.",1888
"other","Washington Confederate Monument (1888), Washington Presbyterian Cemetery. Listed on the National Register of Historic Places in 1996.[122][123]",1888
"other","Ochiltree County (1889) named for secessionist politician William Beck Ochiltree.",1889
"other","Pensacola: Lee Square (1889) -now Florida Square.",1889
"other","Randall County (1889) named for CSA Brig. Gen. Horace Randal.",1889
"other","Reunited Soldiery Monument (1889), one of the first to honor both Confederate and Union soldiers to be placed on a battlefield.[118]",1889
"other","Roberts County (1889) named for Oran Milo Roberts, who was unanimously elected president of the 1861 Secession Convention, a meeting that he had been influential in calling. In 1862 he resigned the Supreme Court seat and was elected colonel of the Eleventh Texas infantry in the Confederate Army. He was Governor of Texas from 1879 to 1883.",1889
"other","Student and Soldier Window (1889). Soldier wears gray uniform.",1889
"other","Sutton County (1890) named for CSA officer John S. Sutton.",1890
"other","Confederate Memorial Hall Museum (1891), the oldest museum in Louisiana[286]",1891
"other","Ector County (1891) named for CSA General Mathew Ector, who later served as a judge.",1891
"other","Foard County (1891) named for Robert L. Foard, an attorney and Confederate Major.[526]",1891
"other","High Water Mark of the Rebellion Monument (1892)",1892
"other","Monument to the Confederate dead (1892), Bethel Avenue[399]",1892
"other","Clarksville: Confederate Monument (1893), Greenwood Cemetery[406]",1893
"other","Yulee (1893), named for David Levy Yulee, a supporter of slavery and secession. See Levy County, above.",1893
"other","Gibson Hall at Tulane University (1894), named for Randall L. Gibson",1894
"other","Chicago: Confederate Mound (1895), Oak Woods Cemetery. Mass grave and monument dedicated to Confederate soldiers who died at Camp Douglas.[243] As of October 2018, the Veterans Administration has it under dawn to dusk guard.[240] It is No. 7 on the Make It Right Project's 2018 list of the 10 Confederate monuments it most wants removed.[244] A counter memorial, a large black granite cenotaph was erected nearby in 1896, dedicated to abolitionists and unionists of the pre-war South.[245][246]",1895
"other","Covington: Confederate Monument (1895)[399]",1895
"other","Altamont: Confederate Memorial (1896), depicting flags of the Confederacy[399]",1896
"other","Louisiana State University is home of the LSU Tigers (1896) and Lady Tigers teams also known as the Fighting Tigers named for the Louisiana Tigers, several Confederate Civil War regiments.[302][303]",1896
"other","Sherman: Confederate Soldiers' Monument (1896), Grayson County Courthouse. This was the first Confederate statue dedicated at a county courthouse in Texas.[503]",1896
"other","Denmark: Britton Lane Confederate Monument (1897)",1897
"other","Fayetteville: Confederate statue (1897), Fayetteville Confederate Cemetery[113]",1897
"other","Sherman: Confederate Soldier Monument (1897)",1897
"other","Confederate monument, downtown Hemming Park (1898)[174][32]: 34  ""The president of Jacksonville City Council, Anna Lopez Brosche, called for all Confederate monuments to be moved from city property to a museum. The most prominent Confederate memorial in Jacksonville is a statue of a Confederate soldier that sits atop a towering pillar in Hemming Park.""[175]",1898
"other","Franklin: ""Our Confederate Soldiers"" Monument (1899), UDC monument known locally as ""Chip"" memorializes soldiers who died in the Battle of Franklin. Since by state law it cannot be removed, the city of Franklin, with ""broad support"", wants to install historic markers ""depicting the experience of the African-Americans before, during, and after the Civil War."" The UDC opposes this, claiming ownership of the Public Square. As of December 2018, the issue is in litigation.[401][402]",1899
"other","Hemming Park/Hemming Plaza (1899) renamed in honor of Civil War veteran Charles C. Hemming, after he installed a 62-foot (19 m)-tall Confederate monument in the park in 1898.[212][213] -now James Weldon Johnson Park.",1899
"other","Monticello: Confederate monument, Jefferson County Courthouse (1899)[163][164][32]: 36 ",1899
"other","Van Buren: Van Buren Confederate Monument (1899)",1899
"other","Honor and Peace Window (1900). There is no inscription, but a Harvard University page (Memorial Hall) explaining the windows says: ""This window commemorates those who surrendered their lives in the War of the Rebellion."" Portrays two warriors, one with sword high in triumph, one kneeling in defeat, who from the ribbons can be seen to be from different but related countries.",1900
"other","Humboldt: Confederate Monument (1900), Bailey Park",1900
"other","Paris: Confederate Monument (1900)",1900
"other","St. Petersburg: Confederate monument, Greenwood Cemetery (1900)[191]",1900
"other","Albert Pike Memorial (1901):[146] An outdoor statue that is owned by the National Park Service at 3rd and D Streets NW in the Judiciary Square neighborhood of Washington, D.C. Pike was a Confederate General and leading Freemason and is dressed as a Mason in the sculpture.[57] The statue is a ""portrait of Albert Pike as a Masonic leader and not as a general in the military.""[147][148][149] ""Eight D.C. elected officials have asked the National Park Service to remove"" the statue.[150] On June 19, 2020, protesters tore down the statue and set it on fire as part of the George Floyd protests because of Pike's association with the Confederacy.",1901
"other","Marshall: Confederate Monument of Saline (1901)",1901
"other","Rutherford County Confederate Memorial (1901)",1901
"other","Springfield: Two monuments are located at Springfield National Cemetery: the Monument to Confederate Soldiers of Missouri and General Sterling Price[339] (1901), and a UDC granite marker to the unknown Confederate dead at the Battle of Wilson's Creek (1958).[343] In late August 2017, someone threw paint on it; as of October 2018, it is one of 7 cemeteries with Confederate monuments that the Veterans Administration has under 24-hour guard.[240]",1901
"other","Union: Monroe County Confederate Soldier Monument (1901); marble statue inscribed ""There is a true glory and a true honor. The glory of duty done, the honor of integrity of principle. R. E. Lee""[570]",1901
"other","Clarksville: Clarksville Confederate Monument, (1902) The Oakland Cemetery obelisk inscribed, ""Sacred to the memory of our Confederate dead,"" was added to the National Register of Historic Places in 1999.[112]",1902
"other","Gray County (1902) named for Peter W. Gray, a lawyer and legislator who attended the 1861 Texas State Secession Convention, and voted to leave the union. Shortly after, Gray was elected to the Confederate House of Representatives.",1902
"other","Confederate Soldiers Monument (1903) features four bronze figures representing the Confederate artillery, cavalry, infantry, and navy. A bronze statue of Jefferson Davis stands above them.[446] The inscription reads: ""Died for state rights guaranteed under the constitution. The people of the South, animated by the spirit of 1776, to preserve their rights, withdrew from the federal compact in 1861. The North resorted to coercion. The South, against overwhelming numbers and resources, fought until exhausted.""[447]",1903
"other","Erwin: Confederate Memorial, Ohio Avenue (1903)[399]",1903
"other","Fort Smith: Ft. Smith Confederate Monument (1903)",1903
"other","Gallatin: Confederate Soldiers Monument (1903)",1903
"other","Linden: Confederate Monument (1903), Cass County Courthouse[488]",1903
"other","Reagan County (1903) named for CSA Postmaster General John H. Reagan.",1903
"other","St. Francisville: Confederate Monument (1903). Has Confederate flag above the inscription: ""In memory of West Feliciana's Confederate dead, wherever at rest. Co. C 1st Regt. La. Cavalry"".",1903
"other","Evansville: The Confederate monument (1904) at Oak Hill Cemetery marks the burial site of 24 Confederate prisoners who died at Evansville.[250]",1904
"other","Flag of Maryland (1904). The state flag of Maryland features the red-and-white Crossland Banner, the unofficial state flag of Maryland used by secessionists and Confederates during the American Civil War.[306][307][308][309] The current state flag started appearing after the Civil War as a form of reconciliation. The flag became official in 1904.",1904
"other","Lewisburg: Confederate Soldier Monument (1904)",1904
"other","Memorial at Oddfellows Cemetery (1904) near a mass grave[342]",1904
"other","Terry County (1904) named for CSA Col. Benjamin Franklin Terry .",1904
"other","Women's Monument to those who kept up the responsibilities of farms and businesses during the Civil War (1904)[399]",1904
"other","Bonham: Confederate Soldiers' Monument (1905), Fannin County Courthouse[461]",1905
"other","Confederate Monument (1905)",1905
